,Long,Short
2004-01-02,0.005193548900254652,-0.0031325879737177263
2004-01-05,0.0022142478315268165,-0.011986089170128578
2004-01-06,-0.00033203645820478744,0.003048160256989918
2004-01-07,0.008943988815971794,-0.0030922162556304865
2004-01-08,0.011483926648484355,-0.013835697876804942
2004-01-09,0.00016152165586360567,0.01174261168165438
2004-01-12,0.012517874768304993,-0.018673924137467567
2004-01-13,0.0037623654547102926,0.017715936287860435
2004-01-14,0.015324805442982503,-0.0004745208305717674
2004-01-15,0.005897264286520631,0.014577032252880495
2004-01-16,0.0024229118548562134,-0.004035417943359954
2004-01-20,0.022700402900575213,-0.023037318234672567
2004-01-21,0.005854866373077439,-0.021698258815529912
2004-01-22,-0.004204492361383383,0.026999831653118356
2004-01-23,-0.006506469941219617,0.01106773867735339
2004-01-26,0.014917059014685586,-0.005959180682941645
2004-01-27,-0.009266175823961808,0.011694417685934978
2004-01-28,-0.00791312415976252,0.021575989741690015
2004-01-29,-0.0013923733159807105,-0.0008554827281065158
2004-01-30,0.0008863287806610387,0.006597083996746011
2004-02-02,0.026210558838321997,0.00599796624890736
2004-02-03,0.009081293463302175,0.00656393631533192
2004-02-04,-0.0013673619602742604,-0.010184025519837613
2004-02-05,-0.012283976323377289,0.011125999196915148
2004-02-06,0.02144742525100124,-0.016666987729339767
2004-02-09,0.005120215962663421,0.012169760806650077
2004-02-10,0.010083252122513774,0.005175687824201081
2004-02-11,0.0008863981800714016,-0.002589987952970607
2004-02-12,-0.0050079209553718805,-0.0064191011920341715
2004-02-13,0.00043253302734898026,0.009666265374328298
2004-02-17,0.010165791208932306,0.0053669661224355234
2004-02-18,-0.00023976178023075168,0.0035917923523285378
2004-02-19,-0.006175406533833283,0.03499753594181796
2004-02-20,-0.0021761782105480187,0.008042256889225451
2004-02-23,-0.0029918838927986855,0.02835029555151656
2004-02-24,0.009928854651322483,-0.0019135634521236454
2004-02-25,-0.005676251204330051,0.007780925213931045
2004-02-26,0.016849960806137855,0.015048101281085635
2004-02-27,0.03243496579447758,-0.00769086288789288
2004-03-01,0.01333402651521839,-0.007285058947255119
2004-03-02,0.0015477200058270468,0.014098657822831073
2004-03-03,0.0008539081635234314,-0.006200646989068526
2004-03-04,0.00935497622355782,-0.004990899211150668
2004-03-05,0.010853422556442994,-0.008180878856856389
2004-03-08,-0.004974498311251974,0.014387360100950042
2004-03-09,0.008130241364417024,0.02913975017815935
2004-03-10,-0.01174954962243364,0.021424520211149413
2004-03-11,-0.002135496965271366,0.01357183086253283
2004-03-12,0.013490301885664812,-0.007022943111327329
2004-03-15,-0.005966086496055012,0.013192096687207343
2004-03-16,-0.010709040302380035,0.004529862186210631
2004-03-17,0.016785421093032736,-0.004681445311265164
2004-03-18,0.00040265604595774996,0.012375238778362285
2004-03-19,-0.0001448041047890203,0.01088389070839626
2004-03-22,-0.0004541659378920926,0.02298610150285547
2004-03-23,0.0019209644127046843,0.006972024084766881
2004-03-24,-0.0005199951364584843,0.000991569939321657
2004-03-25,0.02494895992589501,-0.008639106873668211
2004-03-26,0.008440251533522746,0.0037555242595039063
2004-03-29,0.007496079059304861,-0.013332259132207692
2004-03-30,0.0135640328143817,0.0074453589003546814
2004-03-31,0.009214362449307734,0.007248273148806494
2004-04-01,0.007194706096714099,-0.0005227333991634553
2004-04-02,0.009110715204811094,0.011642180584720408
2004-04-05,0.012034473257962242,-0.008081714266562078
2004-04-06,-0.0005241350351800512,-0.0012213607756836997
2004-04-07,0.0374514494356034,0.008671857546383565
2004-04-08,0.006158004892756042,-0.002860464526382589
2004-04-12,-0.004890814822462774,0.0005905390309508207
2004-04-13,0.017593873359066925,0.02996817183730458
2004-04-14,0.019880994359154292,-0.0009679043891439809
2004-04-15,-0.009573120532001534,-0.006304357056558463
2004-04-16,-0.01546747922382089,0.004598156339855675
2004-04-19,0.0142060552458668,-0.008980004882780723
2004-04-20,-0.008886659987233625,0.009101117017876003
2004-04-21,0.01610477023515593,-0.009544654773039063
2004-04-22,0.015306355767692703,-0.026228219548074406
2004-04-23,-0.004033437069798296,-0.005028179626461837
2004-04-26,-0.0025880524539596884,0.0048740018085566715
2004-04-27,0.002558404681534876,0.004619791213481272
2004-04-28,-0.022104693347125857,0.0022815075695992613
2004-04-29,-0.010644433307492485,0.0007502666785760392
2004-04-30,-0.02608515558550002,0.0017737988446155817
2004-05-03,0.02481820178356229,-0.0029968339214522686
2004-05-04,-0.007029970042123768,0.0076746331711919245
2004-05-05,0.013060588051795862,0.00484013609848456
2004-05-06,-0.004915327860437713,0.013964840992900828
2004-05-07,-0.011086115239346338,0.0005116938683541461
2004-05-10,0.005862314513074107,0.010630612890663605
2004-05-11,0.01777149406996209,-0.002209895993780153
2004-05-12,0.004481324223247185,0.0016024061259456324
2004-05-13,0.004140489218993482,-0.0023989354623561443
2004-05-14,0.007033749689101043,0.0049364409339734405
2004-05-17,0.0034715336306685995,0.00665199720236348
2004-05-18,0.008506906750777633,0.0013473265562612634
2004-05-19,-0.01314912912278976,0.020413385526487936
2004-05-20,0.00883023135668629,0.001443743795509922
2004-05-21,0.00010573937477074136,0.008050565087251016
2004-05-24,-0.0008135261651088354,0.002773584052829092
2004-05-25,0.018432587203103857,-0.009251379746310618
2004-05-26,0.0063727904651542325,-0.023940541341358933
2004-05-27,0.010847886878379598,0.0026112584944575135
2004-05-28,0.001216024352438838,0.002139227951417111
2004-06-01,0.010733094437730406,0.004348432945975089
2004-06-02,0.0059505636351254165,0.013687964016276376
2004-06-03,-0.0044134999170581165,0.008200067546386858
