epoch,accuracy,loss,val_accuracy,val_loss
0,0.5041583776473999,0.693042516708374,0.5062234997749329,0.6926338076591492
1,0.5060421824455261,0.6929401159286499,0.5122237205505371,0.6927021741867065
2,0.5046816468238831,0.6929325461387634,0.5104655027389526,0.6925405263900757
3,0.50602126121521,0.6928727030754089,0.511246919631958,0.6925327777862549
4,0.506188690662384,0.6928556561470032,0.5097678303718567,0.6925238370895386
5,0.5062444806098938,0.6928268671035767,0.5086514949798584,0.6926235556602478
6,0.5072980523109436,0.6927921175956726,0.5111911296844482,0.6925379633903503
7,0.5045141577720642,0.6927365660667419,0.5132842063903809,0.692495584487915
8,0.5069143176078796,0.6926641464233398,0.5140377283096313,0.692317545413971
9,0.5086306929588318,0.6926036477088928,0.5144005417823792,0.6923595070838928
10,0.5097679495811462,0.6926320791244507,0.514930784702301,0.6922409534454346
11,0.5079678297042847,0.6925514340400696,0.5120004415512085,0.6923502087593079
12,0.5105284452438354,0.692489743232727,0.5155168771743774,0.6922160983085632
13,0.5110936164855957,0.6923590898513794,0.5128097534179688,0.6923450827598572
14,0.5106819272041321,0.6923524141311646,0.5143167972564697,0.6921122670173645
15,0.511330783367157,0.6922035217285156,0.5163540840148926,0.6920929551124573
16,0.5138146877288818,0.6922175288200378,0.5147912502288818,0.6922926306724548
17,0.5128657817840576,0.692190945148468,0.5150703191757202,0.6921179294586182
18,0.5121959447860718,0.6921634674072266,0.5128656029701233,0.6922256946563721
19,0.5141355991363525,0.6920953989028931,0.5146796107292175,0.6921213269233704
20,0.5133611559867859,0.692068338394165,0.5176099538803101,0.6920135617256165
21,0.5144984126091003,0.6919844746589661,0.5129493474960327,0.6921050548553467
22,0.5139123201370239,0.6920682191848755,0.5137307643890381,0.691978931427002
23,0.515342652797699,0.6918612718582153,0.5149028897285461,0.6921688318252563
24,0.5138774514198303,0.6919232606887817,0.5156564116477966,0.6920763254165649
25,0.5150356292724609,0.6918913125991821,0.5161029100418091,0.6919611692428589
26,0.5157124400138855,0.6918413639068604,0.517442524433136,0.6918410062789917
27,0.5159496665000916,0.6917291879653931,0.5148191452026367,0.6919712424278259
28,0.5162915587425232,0.6917669773101807,0.5155168771743774,0.6919456720352173
29,0.5176171660423279,0.6916539072990417,0.5159075856208801,0.6919345855712891
30,0.5159357190132141,0.6917209029197693,0.5150424242019653,0.6918484568595886
31,0.5153635740280151,0.6916333436965942,0.5135632753372192,0.6918845772743225
32,0.5170311331748962,0.6915906071662903,0.5145400762557983,0.6921141743659973
33,0.5161868929862976,0.6916981935501099,0.5166611075401306,0.6920404434204102
34,0.5150914788246155,0.6917153596878052,0.5141772627830505,0.6919209957122803
35,0.5174497365951538,0.6916364431381226,0.5162703990936279,0.6918642520904541
36,0.5163891911506653,0.691647469997406,0.513758659362793,0.6922186613082886
