,Long,Short
2009-01-02,0.02185183596800474,0.005019169292492076
2009-01-05,0.03161694622677651,-0.040751673335603665
2009-01-06,-0.031516264303871035,0.06047180346103663
2009-01-07,0.010712831361589903,-0.012979834427877179
2009-01-08,-0.03512309947202974,0.05172612421119501
2009-01-09,-0.056624351057289656,0.05758616622548522
2009-01-12,0.02445630978655373,0.003841574025774974
2009-01-13,-0.07849108709571134,0.07705124038158809
2009-01-14,-0.02681190049286889,0.02458930946719957
2009-01-15,0.020103251339319526,0.004710493240582858
2009-01-16,-0.11804944312366492,0.11933949279028944
2009-01-20,0.1454553595938265,-0.07958284597602863
2009-01-21,-0.10724385926844993,0.05543094346435742
2009-01-22,0.03151746919557694,-0.04070613247956445
2009-01-23,-0.018843437933628405,-0.032128954255526275
2009-01-26,0.030319914735710274,-0.01993457010953059
2009-01-27,0.12978546752420256,-0.1359983023733265
2009-01-28,-0.06606012437369954,0.06428105365171848
2009-01-29,-0.03191683089850472,0.08722152922994414
2009-01-30,-0.011603179182253042,0.02759397725716233
2009-02-02,-0.01939364691866694,0.017516446077998148
2009-02-03,-0.06085117156246665,0.030241712745721072
2009-02-04,0.08077291628414082,-0.01940999792178264
2009-02-05,0.21244678620591745,-0.04900416119629743
2009-02-06,0.059301281491918066,-0.01221919974483896
2009-02-09,-0.13263096936684277,0.09963905972244524
2009-02-10,0.025455288168776014,-0.004468450814304037
2009-02-11,-0.012066872348713297,0.009414776442680618
2009-02-12,-0.019352450415475286,0.03481759203462831
2009-02-13,-0.09270836805093274,0.10555375779273479
2009-02-17,0.0032832091444942035,-0.021391170759726685
2009-02-18,-0.08048519515140946,0.04569902417490118
2009-02-19,-0.01285060872082584,-0.026472098823707213
2009-02-20,-0.005220669599664907,0.03679489367985796
2009-02-23,0.08402413644272125,-0.12835919456203135
2009-02-24,0.005892641179632696,0.03758904071332035
2009-02-25,0.013883712416894345,-0.045291558933388744
2009-02-26,-0.07910964093537476,0.14258831828284388
2009-02-27,-0.08406166420125234,0.1171632316120231
2009-03-02,-0.021431749098211595,0.051922643160043934
2009-03-03,0.0361674128666419,0.029895930594803867
2009-03-04,-0.13829343680116998,0.12871853739014683
2009-03-05,0.0023547177824025157,0.022289327188172448
2009-03-06,0.03292322964569113,-0.04766602260958882
2009-03-09,0.19163430320793723,-0.1315555874172482
2009-03-10,0.030263524150988274,0.013432195234120837
2009-03-11,0.14340348680476633,-0.09484799542042852
2009-03-12,0.04916621352041293,-0.028867656738434243
2009-03-13,-0.025660478673814758,-0.023051226182121864
2009-03-16,0.060720156609216605,-0.05683665609896001
2009-03-17,0.05273662109265429,-0.1612870837764911
2009-03-18,-0.005737145972658153,0.05711734891056932
2009-03-19,-0.06748086286802914,0.07649821737334782
2009-03-20,0.12313009313805771,-0.13242410410673444
2009-03-23,-0.011558235992906596,0.0024389371507053
2009-03-24,0.007117290534749588,-0.008705456679434898
2009-03-25,0.03517852294910191,-0.06381187289710391
2009-03-26,-0.03296759151288682,0.03776186703049407
2009-03-27,-0.05034758918207642,0.09697009427439679
2009-03-30,0.027067086266088936,-0.0633872378339305
2009-03-31,0.022447643775589332,-0.07239229555602948
2009-04-01,0.07661839224615222,-0.07586126902450319
2009-04-02,0.06750936491308986,-0.03336535563801975
2009-04-03,-0.019266834326228343,-0.01219531199661803
2009-04-06,-0.033880251094319316,0.07126632712410251
2009-04-07,0.010310083106488566,-0.04233095286114319
2009-04-08,0.13530155378631117,-0.16493461475509508
2009-04-09,0.04395924902222057,-0.03962745091375717
2009-04-13,-0.018967138202194145,0.08626491801607444
2009-04-14,0.06890349097874035,-0.02498925745561801
2009-04-15,0.05281507943326992,-0.014381941054303848
2009-04-16,0.003842789329465179,-0.03389037487521557
2009-04-17,-0.08664422971644961,0.15136250713623212
2009-04-20,0.07792091686278077,-0.04782908668325989
2009-04-21,-0.017057865604009636,-0.0026420602447131624
2009-04-22,0.0448653484940786,0.0009117596090144842
2009-04-23,0.061350374600775116,-0.0827737019541048
2009-04-24,-0.06256753857791417,0.06275130974444701
2009-04-27,-0.013599535546153762,0.01797435399961117
2009-04-28,0.05813485787652073,-0.06857320647514001
2009-04-29,0.00461069165443333,-0.04364112556589076
2009-04-30,0.012879113603219661,0.01417912901699293
2009-05-01,0.0957110612648154,-0.1103030613878643
2009-05-04,0.008346996497488624,-0.040482419876876355
2009-05-05,0.01482895230299811,-0.03631236455862054
2009-05-06,-0.0272330362633031,0.055633260267171955
2009-05-07,0.05424621585930724,-0.20772010752663564
2009-05-08,-0.005734860145742182,0.06425133617930821
2009-05-11,-0.034780124480043126,0.047299838403600636
2009-05-12,-0.09739265766475577,0.06145450632342064
2009-05-13,0.04105946348093864,-0.013477973483842587
2009-05-14,0.009666294579884983,0.026556350059182963
2009-05-15,0.07549726835912604,-0.0777175319768226
2009-05-18,-0.0029448107446937376,0.028770344130904214
2009-05-19,-0.01467145470761001,0.009448394077362986
2009-05-20,-0.0019265719216962408,0.05353839336085103
2009-05-21,-0.01141106282190224,0.021005274044459666
2009-05-22,0.0454311134477766,-0.021924487099006018
2009-05-26,-0.03475426541395282,0.003642127412016949
2009-05-27,0.03777312783033497,-0.00865641763717755
2009-05-28,0.018147473743265807,-0.019815525795279332
2009-05-29,0.06354126936694185,-0.040717405180879906
2009-06-01,0.025571044486489124,0.0004967931093833644
2009-06-02,-0.0334321963960742,0.028717625956471073
2009-06-03,0.02170380603711387,-0.045795152673796524
2009-06-04,-0.010245091591514533,0.010293650247761943
2009-06-05,-0.004353777789430668,0.015209111221716476
